Channel,Avg. Viewers,Time Streamed,All-Time Peak Viewers,Hours Watched,Followers Gained,Total Followers,Total Views
Trymacs,29964,141.8,365000,4249438,8089,2494205,104995234
IlloJuan,32140,121,98463,3888996,213911,834938,26322871
Quin69,13240,448,44153,5931180,4124,601593,92689047
MOONMOON,23953,186.7,42066,4471666,5409,1065657,86971162
fps_shaka,16439,312.9,60136,5144090,25823,519252,74438835
CBLOL,39015,53,264955,2065826,15351,1236622,199536014
CriticalRole,45113,27,110800,1215789,12108,720105,22589772
VALORANT_Esports_TR,31219,83.9,163677,2618267,95363,286594,10419510
Papaplatte,20767,194.1,66453,4029824,54553,1415404,72656970
CashApp,49566,7.8,83567,384164,37778,493565,3133232
karlnetwork,44820,22.5,63128,1008461,153820,449099,973514
TubboLIVE,30264,88.9,64410,2689425,476820,952110,4409196
LIRIK,21927,168.9,89170,3702340,-11528,2780436,386724354
LPL,33619,60.7,149720,2041228,37732,663549,75541568
buddha,13958,339.9,65354,4743873,32703,436058,31322062
alanzoka,21633,161.0,147051,3481771,92548,4723761,165280602
sodapoppin,19438,200.9,110052,3904157,-3245652,3037615,361584186
Flashpoint,35360,29.9,82670,1058445,12371,243439,70901466
ROSHTEIN,15354,282.4,73891,4335218,4882,508536,51362772
stylishnoob4,19426,185.6,75000,3605771,24080,535568,79717230
Mizkif,21658,149.5,105000,3237525,33988,1267741,53376049
Jelty,16500,228.8,68500,3774591,161109,1620026,29753204
LCS,23026,132.2,400429,3044038,27849,1496609,131079253
NOBRU,23328,132.0,293803,3078961,154279,3098524,18939706
Brawlhalla,34968,42.4,162409,1483219,41814,1094198,19757604
RatedEpicz,14149,288.5,57657,4082469,89904,318067,20813295
otplol_,6707,719.5,160811,4825550,42945,269882,30941106
JLTomy,17832,198.2,49773,3533784,71202,608159,28493435
Ponce,15974,229.0,48193,3658279,38243,514427,36999193
mistermv,14851,254.8,67071,3784552,22361,668138,62262598
Squeezie,31641,49.5,388941,1566743,72629,2792473,54744869
Swagg,20054,155.3,90947,3113668,95360,1572388,28243665
Castro_1021,22562,123.5,180269,2786383,9972,2921871,112230818
Clix,25829,75.7,101555,1953965,-184297,3850997,87722834
BadBoyHalo,36645,20.7,187142,756489,198878,1766818,6232770
VALORANT,14187,215.2,96958,3053234,182561,752917,24604639
GMHikaru,16640,158.6,76963,2638244,48276,1211777,95937182
Chess,22569,68.8,139185,1552765,16023,640098,234553919
KendineMuzisyen,23568,90.5,92142,2132915,44713,1962598,77086488
Nmplol,21480,119.5,85653,2566527,-2334193,711808,34355055
Cellbit,19399,142.8,103686,2769231,22410,2042923,67221518
csgomc_ru,21574,105.9,364816,2284300,-166363,853275,102130912
Foolish__Gamers,19258,135.9,64268,2617113,213418,953102,9391613
Kyle,13591,240.8,28896,3272874,36007,290274,15889485
풍월량,13560,234.9,44351,3185043,-4715,540648,128475431
Faker,29081,33.5,214841,974204,55015,3318466,120280286
eliasn97,23632,80.1,85341,1891781,30883,456747,5984980
Aydan,13222,232.9,77954,3079470,97449,2249107,40273134
JackManifoldTV,26886,46.3,175423,1243473,190468,977668,8070752
Fundy,29449,30.5,145849,897737,172146,1640493,10259109
Amar,19069,114.3,104595,2179249,55899,1056159,36281463
Hiko,21910,81.6,41689,1787112,44107,1411683,52077367
R6esportsBR,19387,107.9,60803,2091879,25747,429791,32195501
Mongraal,20302,80.5,127720,1634309,238159,4370767,65568384
NoWay4u_Sir,11979,252.6,39459,3026358,2761,443951,75097446
LVNDMARK,10518,305.9,142376,3217098,413,540697,31739843
benjyfishy,21656,66.0,117740,1430042,134380,3341580,62837262
s1mple,28502,22.4,73680,637723,26689,2425025,73643160
Symfuhny,14048,184.1,47884,2586493,56384,3199995,74067544
pokimane,19318,84.9,138482,1640719,105604,7657292,172373455
YoDa,15158,158.0,132814,2394678,-12714,2063297,214029816
Baiano,21979,67.4,130745,1482090,5014,598756,39535883
forsen,14380,173.8,80860,2498521,-6518,1532021,153199747
TSM_ImperialHal,14319,171.1,45934,2449802,60776,751958,29408831
SilverName,15320,147.0,32915,2252043,6937,686784,129820512
xntentacion,19387,87.2,58570,1690212,136543,222830,4801204
GRONKH,19719,87.0,100994,1715593,6170,1328850,97252493
AntoineDanielLive,16873,117.9,53260,1988498,28253,630844,22212373
grenbaud,19072,91.1,35852,1738109,130031,276996,2443486
Domingo,17538,107.3,193354,1881873,19338,1065176,96144330
Gotaga,14460,152.4,239747,2203511,34127,2932680,148978789
加藤純一です,15999,131.5,82055,2103304,11987,311300,12075224
nba_topshot,23461,29.8,118527,698402,4816,22508,19118625
Kamet0,8455,347.0,96071,2933470,30191,835891,61485585
